Street,Name,Address,Rating,Place ID,Latitude,Longitude
liberty ave,Associates In Dermatology,"4727 Friendship Avenue, Pittsburgh",N/A,ChIJjbh90EbyNIgRBcZYt1jWNUk,40.46316929999999,-79.9479092
liberty ave,Dr. Brendan Marr,"4727 Friendship Avenue, Pittsburgh",5,ChIJXaT9xEbyNIgRdIQ-SQrMt_c,40.4632569,-79.9481624
liberty ave,"Dr. Mohammad A. Rana, MD","4727 Friendship Avenue, Pittsburgh",N/A,ChIJBz2E0EbyNIgRY9MU7rdBVaw,40.4632342,-79.94816809999999
liberty ave,Vogel Tracey M MD,"4727 Friendship Avenue # 240, Pittsburgh",N/A,ChIJva3GwkbyNIgROvhqOBJoRNc,40.4632342,-79.94816809999999
liberty ave,"Dr. Mobolaji A. Ige, MD","4727 Friendship Avenue, Pittsburgh",N/A,ChIJM0vj-UXyNIgRhygT7OkTCC8,40.4632342,-79.94816809999999
liberty ave,Martin Fred MD,"4727 Friendship Avenue Suite 200, Pittsburgh",N/A,ChIJM0vj-UXyNIgRzu-3XrBCD0E,40.4632342,-79.94816809999999
liberty ave,"Sherie L. Scarnati, CRNP","4727 Friendship Avenue, Pittsburgh",N/A,ChIJ7yG670XyNIgRSHvOzwGUU14,40.4632342,-79.94816809999999
liberty ave,"Dr. Meera Sareen, MD","4727 Friendship Avenue, Pittsburgh",5,ChIJM0vj-UXyNIgRD0xsQJczbQg,40.4632342,-79.94816809999999
liberty ave,"Dr. James H. Skorczewski Jr, DO","4727 Friendship Avenue, Pittsburgh",N/A,ChIJM0vj-UXyNIgRxCuMUHKhVKE,40.4632342,-79.94816809999999
liberty ave,"Dr. Jedediah Mcclintic, MD","4727 Friendship Avenue, Pittsburgh",N/A,ChIJM0vj-UXyNIgRMb1IyA_4gIQ,40.4632342,-79.94816809999999
liberty ave,"Dr. Dmitri V. Vassiliev, MD","4727 Friendship Avenue, Pittsburgh",N/A,ChIJ7yG670XyNIgRtHvQcjNLl0c,40.4632342,-79.94816809999999
liberty ave,"Dr. Jason P. Thomas, MD","4727 Friendship Avenue, Pittsburgh",N/A,ChIJFUbf2kbyNIgR1ll5loi9pCc,40.4632342,-79.94816809999999
liberty ave,Zieger Deborah B,"4727 Friendship Avenue # 240, Pittsburgh",N/A,ChIJ7yG670XyNIgR1uTYM4YK1zk,40.4632342,-79.94816809999999
liberty ave,Armanious Christina D MD,"4727 Friendship Avenue Suite 200, Pittsburgh",N/A,ChIJ7yG670XyNIgRbFxgQsXTrvQ,40.4632342,-79.94816809999999
liberty ave,Bettinger Robert MD,"4727 Friendship Avenue # 240, Pittsburgh",N/A,ChIJva3GwkbyNIgRmDJ9rAukD-I,40.4632342,-79.94816809999999
liberty ave,"Dr. Michael J. Burkitt, MD","4727 Friendship Avenue, Pittsburgh",N/A,ChIJBz2E0EbyNIgR1JGpqiZthoA,40.46316929999999,-79.9479092
liberty ave,"Dr. Yahaira L. Lopez Arredondo, MD","4727 Friendship Avenue, Pittsburgh",N/A,ChIJM0vj-UXyNIgRvvyvDMJJXso,40.4632342,-79.94816809999999
liberty ave,Chandler Erynn M,"4727 Friendship Avenue # 240, Pittsburgh",N/A,ChIJ7yG670XyNIgRRyZbQ7yyny0,40.4632342,-79.94816809999999
liberty ave,"Dr. Lawrence Collins, DO","4727 Friendship Avenue, Pittsburgh",N/A,ChIJ7yG670XyNIgRVBf3r04jYMg,40.4632342,-79.94816809999999
liberty ave,"Dr. Amy I. Kim, MD","4727 Friendship Avenue, Pittsburgh",N/A,ChIJBz2E0EbyNIgRmav-vFgPyMY,40.4632342,-79.94816809999999
liberty ave,Morrison Suzanne R,"4727 Friendship Avenue # 240, Pittsburgh",N/A,ChIJ7yG670XyNIgRs1oXinBlEbY,40.4632342,-79.94816809999999
liberty ave,Walsh Thomas L MD,"4727 Friendship Avenue, Pittsburgh",N/A,ChIJM0vj-UXyNIgR7OLl04R15Uw,40.46316929999999,-79.9479092
liberty ave,Sealy Mary Lynn MD,"4727 Friendship Avenue Suite 200, Pittsburgh",N/A,ChIJM0vj-UXyNIgRXg9tsfnusFg,40.4632342,-79.94816809999999
liberty ave,"Dr. Mohit Jhamb, MD","4727 Friendship Avenue, Pittsburgh",N/A,ChIJ7yG670XyNIgRUYYCAstcPFM,40.4632342,-79.94816809999999
liberty ave,Rossi Joseph MD,"4727 Friendship Avenue Suite 200, Pittsburgh",N/A,ChIJjxMrxEDyNIgRG3qTRm8jagg,40.4632342,-79.94816809999999
liberty ave,Slater Ashleigh E,"4727 Friendship Avenue # 240, Pittsburgh",N/A,ChIJ7yG670XyNIgRbTSlxiv7zhc,40.4632342,-79.94816809999999
liberty ave,"Dr. Alfonso J. Zangardi, MD","4727 Friendship Avenue, Pittsburgh",N/A,ChIJsVQDskDyNIgRSiIY7bF3DbU,40.4632342,-79.94816809999999
liberty ave,"Mary T. Hurley, CRNP","4727 Friendship Avenue, Pittsburgh",N/A,ChIJ7yG670XyNIgRno37WdQl_9Y,40.4632342,-79.94816809999999
liberty ave,Aiello Natalie,"4727 Friendship Avenue # 240, Pittsburgh",N/A,ChIJ7yG670XyNIgRO5-1hrGuJy8,40.4632342,-79.94816809999999
liberty ave,Casper Christina M,"4727 Friendship Avenue # 240, Pittsburgh",N/A,ChIJ7yG670XyNIgRqxLdajRPiW8,40.4632342,-79.94816809999999
liberty ave,Sabol Joseph MD,"4727 Friendship Avenue Suite 200, Pittsburgh",N/A,ChIJN1Fql6_tNIgRqdckHmENCcE,40.4632342,-79.94816809999999
