OBJECTID *,FULL_ADDRE,zon_new,full_zonin,PIN,MAPBLOCKLO,hood,ZIP_CODE,POINT_X,POINT_Y
2878,318 37TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00273000000,49-N-273,Lower Lawrenceville,15201,-79.962431,40.463744
2879,3607 MINTWOOD ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00296000000,49-N-296,Lower Lawrenceville,15201,-79.963592,40.463491
2880,3609 MINTWOOD ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00295000000,49-N-295,Lower Lawrenceville,15201,-79.963534,40.463497
2881,4111 PENN AVE,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049L00289000000,49-L-289,Central Lawrenceville,15224,-79.954808,40.465883
2882,4117 PENN AVE,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049L00290000000,49-L-290,Central Lawrenceville,15224,-79.954688,40.465898
2883,4105 PENN AVE,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049L00286000000,49-L-286,Central Lawrenceville,15224,-79.954977,40.465853
2884,5263 WICKLIFF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0081E00004000000,81-E-4,Upper Lawrenceville,15201,-79.949292,40.47931
2885,3642 MINTWOOD ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00323000000,49-N-323,Lower Lawrenceville,15201,-79.962622,40.463324
2886,3612 DENNY ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00282000A00,49-N-282-A,Lower Lawrenceville,15201,-79.963251,40.463858
2887,3634 MINTWOOD ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00319000000,49-N-319,Lower Lawrenceville,15201,-79.962894,40.463296
2888,3632 MINTWOOD ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00318000000,49-N-318,Lower Lawrenceville,15201,-79.962959,40.46329
2889,3439 DENNY ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00202000000,49-N-202,Lower Lawrenceville,15201,-79.965158,40.462642
