OBJECTID *,FULL_ADDRE,zon_new,full_zonin,PIN,MAPBLOCKLO,hood,ZIP_CODE,POINT_X,POINT_Y
2767,4108 SIEBERT ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00208000000,49-L-208,Central Lawrenceville,15201,-79.955405,40.466247
2768,4103 PENN AVE,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049L00285000000,49-L-285,Central Lawrenceville,15224,-79.9551,40.465879
2769,4401 PENN AVE,EMI,EDUCATIONAL/MEDICAL INSTITUTION,0049G00222000000,49-G-222,Central Lawrenceville,15224,-79.95299,40.466417
2770,4212 CALVIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00252000000,49-L-252,Central Lawrenceville,15201,-79.954549,40.466372
2771,373 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00205000A00,49-L-205-A,Central Lawrenceville,15201,-79.95551,40.466088
2772,225 38TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049J00294000000,49-J-294,Lower Lawrenceville,15201,-79.963331,40.466254
2773,4413 GARWOOD WAY,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049G00264000000,49-G-264,Central Lawrenceville,15201,-79.954786,40.468455
2774,3538 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049J00132000000,49-J-132,Lower Lawrenceville,15201,-79.965381,40.464992
2775,275 38TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049J00265000000,49-J-265,Lower Lawrenceville,15201,-79.962138,40.465334
2776,252 38TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049J00245000000,49-J-245,Lower Lawrenceville,15201,-79.962803,40.465493
2777,264 38TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049J00252000000,49-J-252,Lower Lawrenceville,15201,-79.962457,40.465278
2778,293 38TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00008000000,49-K-8,Lower Lawrenceville,15201,-79.961656,40.465017
2779,4012 ARSENAL PL,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00195000000,49-K-195,Central Lawrenceville,15201,-79.958659,40.466459
2780,381 FISK ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00016000000,49-L-16,Central Lawrenceville,15201,-79.956971,40.465872
2781,410 42ND ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00123000000,49-L-123,Central Lawrenceville,15201,-79.956433,40.467271
2782,308 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00096000000,49-L-96,Central Lawrenceville,15201,-79.957672,40.467202
2783,323 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00101000000,49-L-101,Central Lawrenceville,15201,-79.957032,40.46717
2784,454 44TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00173000000,49-L-173,Central Lawrenceville,15201,-79.954087,40.467066
2785,4218 POST ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00186000000,49-L-186,Central Lawrenceville,15201,-79.954989,40.467003
2786,383 FISK ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00018000000,49-L-18,Central Lawrenceville,15201,-79.956921,40.465837
2787,4047 GENEVA ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00051000200,49-L-51-2,Central Lawrenceville,15201,-79.956935,40.466414
2788,386 BOWERY WAY,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00020000A00,49-L-20-A,Central Lawrenceville,15201,-79.956577,40.465931
2789,474 44TH ST,EMI,EDUCATIONAL/MEDICAL INSTITUTION,0049L00241000L00,49-L-241-L,Central Lawrenceville,15201,-79.953881,40.466483
2790,4223 POST ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00163000000,49-L-163,Central Lawrenceville,15201,-79.955037,40.467289
